AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202512,3127503,GONZAGA,31,MINAS GERAIS,SE,SUDESTE,21329991.37,89776,3609232.89,6476,23089186.96,49336,4758889.18,23492,3266,144,3172,138
202502,4300851,ARAMBARÉ,43,RIO GRANDE DO SUL,SU,SUL,9174963.57,57741,3851021.26,5603,8421006.14,30506,2798598.68,21335,2204,210,2119,205
202511,3118106,CONGONHAS DO NORTE,31,MINAS GERAIS,SE,SUDESTE,11426216.05,66231,3272292.73,2889,10375314.54,35370,3352592.88,11939,2487,139,2414,130
202603,3500709,AGUDOS,35,SÃO PAULO,SE,SUDESTE,100200912.67,602490,125779368.85,51934,98064524.14,311938,123410222.14,108824,25239,2233,24281,2135
202506,2605707,FLORESTA,26,PERNAMBUCO,NE,NORDESTE,91285712.29,748438,14256261.64,14045,85000380.03,468399,24420960.66,97084,18546,445,17869,405
202503,4104303,CAMPO MOURÃO,41,PARANÁ,SU,SUL,493829581.95,1948270,3864699401.18,261484,500637036.35,1052414,3941092408.5,593175,64233,7534,63048,7272
202507,3116001,CHALÉ,31,MINAS GERAIS,SE,SUDESTE,35305361.45,89797,7575286.87,4070,32747140.24,48123,21483245.69,14996,3170,181,2961,166
202505,4218954,URUPEMA,42,SANTA CATARINA,SU,SUL,7461352.04,27626,1879426.61,1846,7897125.86,13669,2220908.04,7046,1440,105,1332,101
202603,2201903,BOM JESUS,22,PIAUÍ,NE,NORDESTE,90190301.36,505788,67270846.69,44631,92179726.0,288032,50853314.27,138779,19685,1546,19433,1439
202507,2109239,PRESIDENTE MÉDICI,21,MARANHÃO,NE,NORDESTE,22648057.14,178800,2691158.64,3710,20626700.33,108897,2860875.71,19791,3879,73,3752,70
202511,2904506,BROTAS DE MACAÚBAS,29,BAHIA,NE,NORDESTE,26616785.35,209242,5658056.81,6984,24146480.97,116003,5692114.29,29031,5612,226,5390,213
202505,4212270,PASSOS MAIA,42,SANTA CATARINA,SU,SUL,14068568.91,52317,4469081.62,2769,14085732.43,24353,4654099.57,7341,2199,165,2095,166
202508,3550605,SÃO ROQUE,35,SÃO PAULO,SE,SUDESTE,398002670.63,1925518,393896996.26,189011,418134769.17,1077433,375705131.31,561998,58248,5835,57338,5510
202502,4104659,CARAMBEÍ,41,PARANÁ,SU,SUL,114663059.95,402458,495093394.94,44949,147578539.03,205851,324985889.16,90990,14732,1385,14244,1310
202504,2912905,IBIRATAIA,29,BAHIA,NE,NORDESTE,58064637.49,385489,12343739.8,10701,55994348.41,246457,11938711.84,40027,10969,321,10934,300
202504,4307005,ERECHIM,43,RIO GRANDE DO SUL,SU,SUL,417228975.16,1662656,1811206881.78,208977,437311943.11,882626,1547195817.15,586195,66807,9371,63699,9014
202504,5220280,SÃO PATRÍCIO,52,GOIÁS,CO,CENTRO-OESTE,7115062.84,28068,2525340.36,1687,7074544.59,16324,2122778.01,7010,977,57,964,46
202601,4104501,CAPANEMA,41,PARANÁ,SU,SUL,58850643.68,287383,66317217.47,33923,52500005.79,134042,60476092.78,96022,11022,1150,10235,1082
202502,4310462,IPIRANGA DO SUL,43,RIO GRANDE DO SUL,SU,SUL,4136336.92,11629,1658810.17,964,3050259.51,3881,4547347.52,1849,836,65,669,61
202511,3522901,ITAPUÍ,35,SÃO PAULO,SE,SUDESTE,46320949.79,329506,53743825.04,25672,44293883.43,165418,63501138.84,73799,8226,663,7900,620
202507,3504701,BALBINOS,35,SÃO PAULO,SE,SUDESTE,5396691.09,46469,1081941.63,1569,5698563.67,26183,573767.75,3037,1076,52,1054,47
202505,3517703,GUARÁ,35,SÃO PAULO,SE,SUDESTE,77848845.06,524983,84427607.04,32658,75416724.05,289170,86617932.07,140517,12607,811,12454,769
